game_index,opening_name,player_a_color,result,score_a,plies,adjudicated,player_a_timeouts,player_b_timeouts,player_a_crashes,player_b_crashes,error
1,queens_pawn,white,loss,0.0,16,False,0,0,0,0,
2,queens_pawn,black,win,1.0,20,True,0,0,0,0,
3,sicilian,white,loss,0.0,20,True,0,0,0,0,
4,sicilian,black,draw,0.5,20,True,0,0,0,0,
5,caro_kann,white,draw,0.5,15,False,0,0,0,0,
6,caro_kann,black,draw,0.5,17,False,0,0,0,0,
7,kings_indian,white,win,1.0,20,True,0,0,0,0,
8,kings_indian,black,win,1.0,20,True,0,0,0,0,
9,queens_pawn,white,loss,0.0,16,False,0,0,0,0,
10,queens_pawn,black,win,1.0,20,True,0,0,0,0,
11,sicilian,white,draw,0.5,20,True,0,0,0,0,
12,sicilian,black,draw,0.5,20,True,0,0,0,0,
13,caro_kann,white,draw,0.5,15,False,0,0,0,0,
14,caro_kann,black,draw,0.5,17,False,0,0,0,0,
15,kings_indian,white,win,1.0,20,True,0,0,0,0,
16,kings_indian,black,win,1.0,20,True,0,0,0,0,
17,queens_pawn,white,loss,0.0,16,False,0,0,0,0,
18,queens_pawn,black,win,1.0,20,True,0,0,0,0,
19,sicilian,white,draw,0.5,20,True,0,0,0,0,
20,sicilian,black,draw,0.5,20,True,0,0,0,0,
21,caro_kann,white,draw,0.5,15,False,0,0,0,0,
22,caro_kann,black,draw,0.5,17,False,0,0,0,0,
23,kings_indian,white,win,1.0,20,True,0,0,0,0,
24,kings_indian,black,win,1.0,20,True,0,0,0,0,
25,queens_pawn,white,loss,0.0,16,False,0,0,0,0,
26,queens_pawn,black,win,1.0,20,True,0,0,0,0,
27,sicilian,white,loss,0.0,20,True,0,0,0,0,
28,sicilian,black,draw,0.5,20,True,0,0,0,0,
29,caro_kann,white,draw,0.5,15,False,0,0,0,0,
30,caro_kann,black,draw,0.5,17,False,0,0,0,0,
31,kings_indian,white,win,1.0,20,True,0,0,0,0,
32,kings_indian,black,win,1.0,20,True,0,0,0,0,
