game_index,opening_name,player_a_color,result,score_a,plies,adjudicated,player_a_timeouts,player_b_timeouts,player_a_crashes,player_b_crashes,error
1,feedback_failure_001,white,win,1.0,30,True,0,0,0,0,
2,feedback_failure_001,black,draw,0.5,25,False,0,0,0,0,
3,feedback_failure_002,white,draw,0.5,27,False,0,0,0,0,
4,feedback_failure_002,black,loss,0.0,30,True,0,0,0,0,
5,feedback_failure_003,white,win,1.0,6,False,0,0,0,0,
6,feedback_failure_003,black,loss,0.0,30,True,0,0,0,0,
7,feedback_failure_004,white,draw,0.5,17,False,0,0,0,0,
8,feedback_failure_004,black,loss,0.0,21,False,0,0,0,0,
9,feedback_failure_005,white,win,1.0,30,True,0,0,0,0,
10,feedback_failure_005,black,loss,0.0,30,True,0,0,0,0,
11,feedback_failure_006,white,draw,0.5,9,False,0,0,0,0,
12,feedback_failure_006,black,loss,0.0,30,True,0,0,0,0,
13,feedback_failure_007,white,win,1.0,30,True,0,0,0,0,
14,feedback_failure_007,black,loss,0.0,12,False,0,0,0,0,
15,feedback_failure_008,white,win,1.0,30,True,0,0,0,0,
16,feedback_failure_008,black,loss,0.0,30,True,0,0,0,0,
17,feedback_failure_009,white,win,1.0,13,False,0,0,0,0,
18,feedback_failure_009,black,loss,0.0,11,False,0,0,0,0,
19,feedback_failure_010,white,win,1.0,30,True,0,0,0,0,
20,feedback_failure_010,black,loss,0.0,30,True,0,0,0,0,
21,feedback_failure_011,white,draw,0.5,22,False,0,0,0,0,
22,feedback_failure_011,black,loss,0.0,22,False,0,0,0,0,
23,feedback_failure_012,white,win,1.0,30,True,0,0,0,0,
24,feedback_failure_012,black,loss,0.0,30,True,0,0,0,0,
25,mate_in_one_white,white,win,1.0,1,False,0,0,0,0,
26,mate_in_one_white,black,loss,0.0,1,False,0,0,0,0,
27,mate_in_one_black,white,loss,0.0,1,False,0,0,0,0,
28,mate_in_one_black,black,win,1.0,1,False,0,0,0,0,
29,sharp_midgame_1,white,win,1.0,3,False,0,0,0,0,
30,sharp_midgame_1,black,win,1.0,30,True,0,0,0,0,
31,sharp_midgame_2,white,win,1.0,30,True,0,0,0,0,
32,sharp_midgame_2,black,draw,0.5,18,False,0,0,0,0,
33,isolated_pawn_tension,white,win,1.0,30,True,0,0,0,0,
34,isolated_pawn_tension,black,draw,0.5,26,False,0,0,0,0,
35,rook_endgame,white,win,1.0,30,True,0,0,0,0,
36,rook_endgame,black,win,1.0,30,True,0,0,0,0,
