round_id,round_dir,experiment_family,config_label,selected_block,change_path,change_before,change_after,tuning_action,tuning_reason_code,promotion_gate_passed,games,rank,wins,losses,draws,win_rate,average_response_ms,legal_rate,timeout_rate,error_rate,interface_success_rate,prescreen_score_difference,prescreen_mean_score_a,prescreen_mean_score_b,same_round_score,sevo
self_play_p16_eval_mobility_weight_1_001,reports/self_play_profile/self_play_p16_eval_mobility_weight_1_001,self_play_profile,eval.mobility_weight: 1.0->0.85,eval.mobility_weight,eval.mobility_weight,1.0,0.85,ready,candidate_ready,True,32,1,4,4,24,0.5,196.59971918774744,1.0,0.0,0.0,1.0,0.0013056337633518544,0.4551955602720298,0.45388992650867793,0.5,-9.716765646413948e-07
self_play_p16_eval_mobility_weight_1_002,reports/self_play_profile/self_play_p16_eval_mobility_weight_1_002,self_play_profile,eval.mobility_weight: 1.0->0.85,eval.mobility_weight,eval.mobility_weight,1.0,0.85,ready,candidate_ready,True,32,1,4,4,24,0.5,196.2817322764706,1.0,0.0,0.0,1.0,0.0013056337633518544,0.4551955602720298,0.45388992650867793,0.5,-1.2381309532738345e-06
self_play_p16_eval_mobility_weight_postpromote0_85_1_001,reports/self_play_profile/self_play_p16_eval_mobility_weight_postpromote0_85_1_001,self_play_profile,eval.mobility_weight: 0.85->0.7,eval.mobility_weight,eval.mobility_weight,0.85,0.7,hold,acceptance_unconfirmed,False,32,1,4,4,24,0.5,196.2940913456311,1.0,0.0,0.0,1.0,0.002155428185624808,0.45812572544388147,0.45597029725825666,0.5,-4.5837221935897714e-06
self_play_p16_eval_mobility_weight_postpromote0_85_1_002,reports/self_play_profile/self_play_p16_eval_mobility_weight_postpromote0_85_1_002,self_play_profile,eval.mobility_weight: 0.85->0.7,eval.mobility_weight,eval.mobility_weight,0.85,0.7,ready,candidate_ready,True,32,2,4,5,23,0.4844,196.32766007456982,1.0,0.0,0.0,1.0,0.002155428185624808,0.45812572544388147,0.45597029725825666,0.4844,-6.95871813087063e-06
self_play_p16_eval_mobility_weight_promote1_001,reports/self_play_profile/self_play_p16_eval_mobility_weight_promote1_001,self_play_profile,eval.mobility_weight: 1.0->0.85,eval.mobility_weight,eval.mobility_weight,1.0,0.85,promote,candidate_ready,True,32,2,5,6,21,0.4844,196.28495919460528,1.0,0.0,0.0,1.0,0.0013056337633518544,0.4551955602720298,0.45388992650867793,0.4844,-3.801832422048187e-06
self_play_p16_eval_piece_activity_weight_lr1_001,reports/self_play_profile/self_play_p16_eval_piece_activity_weight_lr1_001,self_play_profile,eval.piece_activity_weight: 1.0->0.95,eval.piece_activity_weight,eval.piece_activity_weight,1.0,0.95,hold,acceptance_unconfirmed,False,32,1,3,3,26,0.5,198.90491291604485,1.0,0.0,0.0,1.0,0.0002772208818427879,0.3556302782200044,0.35535305733816164,0.5,-8.080829731242335e-06
self_play_p16_eval_piece_activity_weight_lr1_002,reports/self_play_profile/self_play_p16_eval_piece_activity_weight_lr1_002,self_play_profile,eval.piece_activity_weight: 1.0->0.95,eval.piece_activity_weight,eval.piece_activity_weight,1.0,0.95,hold,acceptance_unconfirmed,False,32,1,3,3,26,0.5,196.34203918076986,1.0,0.0,0.0,1.0,0.00027722088184284344,0.4015727640475662,0.40129554316572336,0.5,-8.17126791527501e-06
self_play_p16_eval_piece_activity_weight_post_eval_weights1_001,reports/self_play_profile/self_play_p16_eval_piece_activity_weight_post_eval_weights1_001,self_play_profile,eval.piece_activity_weight: 0.85->0.8,eval.piece_activity_weight,eval.piece_activity_weight,0.85,0.8,ready,candidate_ready,True,32,1,7,7,18,0.5,195.61862550778173,1.0,0.0,0.0,1.0,0.00014201726063955977,0.46071112401916037,0.4605691067585208,0.5,-9.645739863122775e-06
self_play_p16_eval_piece_activity_weight_post_eval_weights1_002,reports/self_play_profile/self_play_p16_eval_piece_activity_weight_post_eval_weights1_002,self_play_profile,eval.piece_activity_weight: 0.85->0.8,eval.piece_activity_weight,eval.piece_activity_weight,0.85,0.8,ready,candidate_ready,True,32,2,6,7,19,0.4844,195.72088132575746,1.0,0.0,0.0,1.0,0.00014201726063955977,0.46071112401916037,0.4605691067585208,0.4844,-1.0141663035676291e-05
self_play_p16_eval_weights_no_mobility_shadow1_001,reports/self_play_profile/self_play_p16_eval_weights_no_mobility_shadow1_001,self_play_profile,eval.king_safety_weight: 1.15->1.3,eval.weights_no_mobility,eval.king_safety_weight,1.15,1.3,shadow_ready,shadow_ready,False,32,1,6,6,20,0.5,195.57883048443574,1.0,0.0,0.0,1.0,0.007532719628695617,0.4681018263872164,0.4605691067585208,0.5,-9.951500526396737e-06
self_play_p16_eval_weights_no_mobility_shadow1_002,reports/self_play_profile/self_play_p16_eval_weights_no_mobility_shadow1_002,self_play_profile,eval.king_safety_weight: 1.15->1.3,eval.weights_no_mobility,eval.king_safety_weight,1.15,1.3,shadow_ready,shadow_ready,False,32,1,6,6,20,0.5,195.60919824999957,1.0,0.0,0.0,1.0,0.007532719628695617,0.4681018263872164,0.4605691067585208,0.5,-9.889248366544387e-06
self_play_p16_eval_weights_postpromote1_001,reports/self_play_profile/self_play_p16_eval_weights_postpromote1_001,self_play_profile,eval.king_safety_weight: 1.15->1.1,eval.weights,eval.king_safety_weight,1.15,1.1,ready,candidate_ready,True,32,1,7,7,18,0.5,195.61439713813226,1.0,0.0,0.0,1.0,0.014675044078855892,0.4752441508373767,0.4605691067585208,0.5,-1.0929450761315913e-05
self_play_p16_eval_weights_postpromote1_002,reports/self_play_profile/self_play_p16_eval_weights_postpromote1_002,self_play_profile,eval.king_safety_weight: 1.15->1.1,eval.weights,eval.king_safety_weight,1.15,1.1,ready,candidate_ready,True,32,1,7,6,19,0.5156,195.6545635428019,1.0,0.0,0.0,1.0,0.014675044078855892,0.4752441508373767,0.4605691067585208,0.5156,-1.0271337892469869e-05
self_play_p16_eval_weights_promotion_confirm1_001,reports/self_play_profile/self_play_p16_eval_weights_promotion_confirm1_001,self_play_profile,eval.king_safety_weight: 1.0->1.15,eval.weights,eval.king_safety_weight,1.0,1.15,promote,candidate_ready,True,32,1,4,4,24,0.5,196.27498400378076,1.0,0.0,0.0,1.0,0.0012417243209143503,0.457212021579171,0.45597029725825666,0.5,-1.1222830818642582e-05
self_play_p16_eval_weights_promotion_confirm2_001,reports/self_play_profile/self_play_p16_eval_weights_promotion_confirm2_001,self_play_profile,eval.king_safety_weight: 1.15->1.1,eval.weights,eval.king_safety_weight,1.15,1.1,shadow_ready,shadow_ready,False,32,1,7,7,18,0.5,195.58251954863786,1.0,0.0,0.0,1.0,0.015666062447120377,0.4762351692056412,0.4605691067585208,0.5,-1.020620441377759e-05
self_play_p16_eval_weights_reopen_2_001,reports/self_play_profile/self_play_p16_eval_weights_reopen_2_001,self_play_profile,eval.king_safety_weight: 1.0->1.15,eval.weights,eval.king_safety_weight,1.0,1.15,ready,candidate_ready,True,32,2,4,5,23,0.4844,196.29353534586483,1.0,0.0,0.0,1.0,0.0012417243209143503,0.457212021579171,0.45597029725825666,0.4844,-1.7412452593047494e-05
self_play_p16_eval_weights_reopen_2_002,reports/self_play_profile/self_play_p16_eval_weights_reopen_2_002,self_play_profile,eval.king_safety_weight: 1.0->1.15,eval.weights,eval.king_safety_weight,1.0,1.15,ready,candidate_ready,True,32,1,5,4,23,0.5156,196.33919340571452,1.0,0.0,0.0,1.0,0.0012417243209143503,0.457212021579171,0.45597029725825666,0.5156,-1.652651496964168e-05
self_play_p16_eval_weights_shadow1_001,reports/self_play_profile/self_play_p16_eval_weights_shadow1_001,self_play_profile,eval.king_safety_weight: 1.0->1.15,eval.weights,eval.king_safety_weight,1.0,1.15,ready,candidate_ready,True,32,1,4,4,24,0.5,199.6724173673081,1.0,0.0,0.0,1.0,0.0012417243209143503,0.457212021579171,0.45597029725825666,0.5,-1.1373713109538546e-05
self_play_p16_eval_weights_shadow1_002,reports/self_play_profile/self_play_p16_eval_weights_shadow1_002,self_play_profile,eval.king_safety_weight: 1.0->1.15,eval.weights,eval.king_safety_weight,1.0,1.15,ready,candidate_ready,True,32,1,4,4,24,0.5,196.5005569257142,1.0,0.0,0.0,1.0,0.0012417243209143503,0.457212021579171,0.45597029725825666,0.5,-1.1297915531539866e-05
self_play_p16_king_ring_1_001,reports/self_play_profile/self_play_p16_king_ring_1_001,self_play_profile,king_safety.attacked_ring_penalty: 2->1,king_safety.attacked_ring_penalty,king_safety.attacked_ring_penalty,2,1,ready,candidate_ready,True,32,1,3,3,26,0.5,196.2535726948177,1.0,0.0,0.0,1.0,0.0003255237290525348,0.45194464634134673,0.4516191226122942,0.5,-3.5354706359429424e-05
self_play_p16_king_ring_1_002,reports/self_play_profile/self_play_p16_king_ring_1_002,self_play_profile,king_safety.attacked_ring_penalty: 2->1,king_safety.attacked_ring_penalty,king_safety.attacked_ring_penalty,2,1,ready,candidate_ready,True,32,1,3,3,26,0.5,196.31132892692378,1.0,0.0,0.0,1.0,0.0003255237290525348,0.45194464634134673,0.4516191226122942,0.5,-3.5095767916814456e-05
self_play_p16_king_ring_postpromote1_0_001,reports/self_play_profile/self_play_p16_king_ring_postpromote1_0_001,self_play_profile,king_safety.attacked_ring_penalty: 1->0,king_safety.attacked_ring_penalty,king_safety.attacked_ring_penalty,1,0,ready,candidate_ready,True,32,1,4,4,24,0.5,196.27716337499996,1.0,0.0,0.0,1.0,0.0003307095668864113,0.45307785620413826,0.45274714663725185,0.5,-3.3805750737126225e-05
self_play_p16_king_ring_postpromote1_0_002,reports/self_play_profile/self_play_p16_king_ring_postpromote1_0_002,self_play_profile,king_safety.attacked_ring_penalty: 1->0,king_safety.attacked_ring_penalty,king_safety.attacked_ring_penalty,1,0,ready,candidate_ready,True,32,1,4,4,24,0.5,196.30723132500012,1.0,0.0,0.0,1.0,0.0003307095668864113,0.45307785620413826,0.45274714663725185,0.5,-3.354960766932597e-05
self_play_p16_king_ring_promote0_001,reports/self_play_profile/self_play_p16_king_ring_promote0_001,self_play_profile,king_safety.attacked_ring_penalty: 1->0,king_safety.attacked_ring_penalty,king_safety.attacked_ring_penalty,1,0,promote,candidate_ready,True,32,1,4,4,24,0.5,196.27371378653825,1.0,0.0,0.0,1.0,0.0003307095668864113,0.45307785620413826,0.45274714663725185,0.5,-3.3294349328832086e-05
self_play_p16_king_ring_promote1_001,reports/self_play_profile/self_play_p16_king_ring_promote1_001,self_play_profile,king_safety.attacked_ring_penalty: 2->1,king_safety.attacked_ring_penalty,king_safety.attacked_ring_penalty,2,1,promote,candidate_ready,True,32,1,3,3,26,0.5,196.2937689636709,1.0,0.0,0.0,1.0,0.0003255237290524793,0.39776577145816755,0.39744024772911507,0.5,-3.483694795988027e-05
self_play_p16_move_extended_center_bonus_1_001,reports/self_play_profile/self_play_p16_move_extended_center_bonus_1_001,self_play_profile,move_ordering.extended_center_bonus: 15->10,move_ordering.extended_center_bonus,move_ordering.extended_center_bonus,15,10,ready,candidate_ready,True,32,1,4,4,24,0.5,196.28900175525803,1.0,0.0,0.0,1.0,0.0,0.7996129814924734,0.7996129814924734,0.5,-1.4160345431205507e-05
self_play_p16_move_extended_center_bonus_1_002,reports/self_play_profile/self_play_p16_move_extended_center_bonus_1_002,self_play_profile,move_ordering.extended_center_bonus: 15->10,move_ordering.extended_center_bonus,move_ordering.extended_center_bonus,15,10,ready,candidate_ready,True,32,1,4,4,24,0.5,196.27655572307668,1.0,0.0,0.0,1.0,0.0,0.7996129814924734,0.7996129814924734,0.5,-1.4080177952129187e-05
self_play_p16_move_extended_center_bonus_postpromote2_001,reports/self_play_profile/self_play_p16_move_extended_center_bonus_postpromote2_001,self_play_profile,move_ordering.extended_center_bonus,move_ordering.extended_center_bonus,,,,hold,no_gate_cross,False,32,1,6,6,20,0.5,195.64431004238907,1.0,0.0,0.0,1.0,0.0,0.8012933188651866,0.8012933188651866,0.5,-5.0218621652171555e-06
self_play_p16_move_extended_center_bonus_postpromote2_002,reports/self_play_profile/self_play_p16_move_extended_center_bonus_postpromote2_002,self_play_profile,move_ordering.extended_center_bonus,move_ordering.extended_center_bonus,,,,hold,no_gate_cross,False,32,1,6,6,20,0.5,195.64301703100705,1.0,0.0,0.0,1.0,0.011408123776061596,0.8012933188651866,0.789885195089125,0.5,-5.002674191630965e-06
